Date,Price,Start Time,Duration,Start Location,End Location,Bike Type
"December 16, 2023",$4.81,3:28 AM,26 min,4 Ave & E 12 St,Roosevelt Island Tramway,Ebike
"December 13, 2023",$2.22,1:54 AM,12 min,49 Ave & 21 St,Roosevelt Island Tramway,Ebike
"December 12, 2023",$2.22,6:06 PM,12 min,45 Ave & 21 St,Roosevelt Island Tramway,Ebike
"December 10, 2023",$0.00,6:55 PM,4 min,46 Ave & 5 St,Center Blvd & 51 Ave,Normal Bike
"December 10, 2023",$2.04,3:03 AM,11 min,44 Dr & Jackson Ave,Roosevelt Island Tramway,Ebike
"December 8, 2023",$6.29,1:26 AM,34 min,7 Ave S & Bleecker St,Roosevelt Island Tramway,Ebike
"November 19, 2023",$0.00,9:50 PM,8 min,36 Ave & 10 St,Roosevelt Island Tramway,Normal Bike
"November 19, 2023",$0.00,8:05 PM,15 min,38 St & 30 Ave,36 Ave & 10 St,Normal Bike
"November 19, 2023",$0.00,6:28 PM,18 min,36 Ave & 10 St,38 St & 30 Ave,Normal Bike
"November 19, 2023",$0.00,6:15 PM,10 min,Roosevelt Island Tramway,36 Ave & 10 St,Normal Bike
"November 17, 2023",$0.00,12:51 PM,12 min,Vernon Blvd & 10 St,Roosevelt Island Tramway,Normal Bike
"November 15, 2023",$4.44,10:34 PM,24 min,2 Ave & E 29 St,Roosevelt Island Tramway,Ebike
"November 9, 2023",$0.86,8:09 PM,23 min,E 77 St & 3 Ave,Roosevelt Island Tramway,Ebike
"November 6, 2023",$0.00,10:46 PM,14 min,27 St & Hunter St,Roosevelt Island Tramway,Normal Bike
"November 3, 2023",$2.22,11:59 PM,12 min,E 84 St & Park Ave,1 Ave & E 62 St,Ebike
"November 3, 2023",$2.04,6:50 PM,11 min,Roosevelt Island Tramway,27 St & Hunter St,Ebike
"October 28, 2023",$3.27,2:17 AM,21 min,Metropolitan Ave & Meeker Ave,Roosevelt Island Tramway,Ebike
"October 26, 2023",$3.27,8:03 PM,21 min,Driggs Ave & Lorimer St,Roosevelt Island Tramway,Ebike
"October 26, 2023",$3.27,6:23 PM,22 min,Roosevelt Island Tramway,Union Ave & N 12 St,Ebike
"October 22, 2023",$3.27,10:27 PM,38 min,Putnam Ave & Knickerbocker Ave,Motorgate,Ebike
"October 22, 2023",$3.27,5:59 PM,34 min,Roosevelt Island Tramway,Putnam Ave & Knickerbocker Ave,Ebike
"October 22, 2023",$3.27,1:31 AM,28 min,Wyckoff Ave & Jefferson St,Roosevelt Island Tramway,Ebike
"October 21, 2023",$3.27,2:26 AM,23 min,Union Ave & Jackson St,Roosevelt Island Tramway,Ebike
"October 21, 2023",$11.68,2:26 AM,24 min,Union Ave & Jackson St,Roosevelt Island Tramway,Ebike
"October 21, 2023",$3.27,1:09 AM,20 min,Roosevelt Island Tramway,Devoe St & Lorimer St,Ebike
"October 15, 2023",$3.27,9:40 PM,34 min,Putnam Ave & Knickerbocker Ave,Roosevelt Island Tramway,Ebike
"October 15, 2023",$3.27,4:28 PM,24 min,Motorgate,S 3 St & Bedford Ave,Ebike
"October 15, 2023",$0.00,4:24 PM,4 min,Roosevelt Island Tramway,Motorgate,Normal Bike
"October 13, 2023",$1.85,9:07 PM,10 min,Roosevelt Island Tramway,35 Ave & 37 St,Ebike
"October 13, 2023",$3.27,2:58 AM,18 min,N 6 St & Bedford Ave,Roosevelt Island Tramway,Ebike
"October 13, 2023",$0.00,2:55 AM,3 min,Driggs Ave & N 9 St,N 6 St & Bedford Ave,Normal Bike
"October 12, 2023",$3.27,10:51 PM,18 min,Roosevelt Island Tramway,N 7 St & Driggs Ave,Ebike
"October 9, 2023",$0.00,2:43 PM,4 min,Roosevelt Island Tramway,Motorgate,Normal Bike
"October 9, 2023",$0.00,11:39 AM,10 min,36 Ave & 10 St,Roosevelt Island Tramway,Normal Bike
"October 9, 2023",$0.00,11:39 AM,1 min,36 Ave & 10 St,36 Ave & 10 St,Normal Bike
"October 9, 2023",$1.30,10:47 AM,7 min,Steinway St & Broadway,36 Ave & 10 St,Ebike
"October 9, 2023",$1.48,10:35 AM,8 min,Crescent St & 35 Ave,Steinway St & Broadway,Ebike
"October 9, 2023",$1.48,10:21 AM,8 min,Roosevelt Island Tramway,Crescent St & 34 Ave,Ebike
"October 8, 2023",$1.67,5:28 AM,9 min,24 St & 41 Ave,Roosevelt Island Tramway,Ebike
"October 7, 2023",$1.85,8:39 PM,10 min,Roosevelt Island Tramway,27 St & Hunter St,Ebike
"October 5, 2023",$0.00,7:58 PM,13 min,9 St & 44 Rd,Roosevelt Island Tramway,Normal Bike
"October 4, 2023",$0.00,7:28 PM,7 min,46 Ave & 5 St,Center Blvd & 51 Ave,Normal Bike
"October 4, 2023",$4.63,1:38 AM,25 min,8 Ave & W 31 St,Roosevelt Island Tramway,Ebike
"October 4, 2023",$0.00,1:24 AM,13 min,Greenwich Ave & 8 Ave,8 Ave & W 31 St,Normal Bike
"October 1, 2023",$3.27,10:34 PM,25 min,Wilson Ave & Troutman St,Roosevelt Island Tramway,Ebike
"October 1, 2023",$1.67,10:24 PM,9 min,Knickerbocker Ave & Hancock St,Wilson Ave & Troutman St,Ebike
"October 1, 2023",$0.00,10:23 PM,2 min,Putnam Ave & Knickerbocker Ave,Knickerbocker Ave & Hancock St,Normal Bike
"October 1, 2023",$3.27,5:54 PM,32 min,Motorgate,Putnam Ave & Knickerbocker Ave,Ebike
"October 1, 2023",$0.00,5:49 PM,4 min,Roosevelt Island Tramway,Motorgate,Normal Bike
"September 30, 2023",$1.78,2:06 AM,28 min,E 7 St & Ave B,Roosevelt Island Tramway,Ebike
"September 29, 2023",$0.00,9:22 PM,4 min,FDR Drive & E 35 St,2 Ave & E 31 St,Normal Bike
"September 28, 2023",$0.00,1:14 PM,10 min,36 Ave & 31 St,Roosevelt Island Tramway,Normal Bike
"September 28, 2023",$1.67,2:03 AM,9 min,Lafayette St & Jersey St,Greenwich St & Perry St,Ebike
"September 27, 2023",$1.67,11:38 PM,9 min,Christopher St & Greenwich St,E 2 St & 2 Ave,Ebike
"September 25, 2023",$3.27,10:54 PM,30 min,Putnam Ave & Knickerbocker Ave,Roosevelt Island Tramway,Ebike
"September 25, 2023",$0.00,5:28 PM,40 min,Roosevelt Island Tramway,Central Ave & Woodbine St,Ebike
"September 23, 2023",$3.33,3:18 AM,18 min,Broadway & W 56 St,Roosevelt Island Tramway,Ebike
"September 21, 2023",$0.00,2:40 AM,10 min,E 9 St & Avenue C,E 11 St & 1 Ave,Normal Bike
"September 16, 2023",$0.00,2:48 AM,7 min,W 13 St & 7 Ave,Perry St & Bleecker St,Normal Bike
"September 13, 2023",$3.70,2:20 AM,20 min,E 22 St & 2 Ave,Roosevelt Island Tramway,Ebike
"September 13, 2023",$0.00,2:14 AM,6 min,E 17 St & Broadway,E 22 St & 2 Ave,Normal Bike
"September 13, 2023",$0.00,1:53 AM,13 min,Greenwich Ave & 8 Ave,University Pl & E 14 St,Normal Bike
"September 13, 2023",$4.89,1:53 AM,14 min,Greenwich Ave & 8 Ave,University Pl & E 14 St,Normal Bike
"September 11, 2023",$1.48,10:12 PM,8 min,28 St & 36 Ave,Roosevelt Island Tramway,Ebike
"September 11, 2023",$2.22,7:25 PM,12 min,Roosevelt Island Tramway,31 Ave & 34 St,Ebike
"September 10, 2023",$2.22,4:33 PM,12 min,Lexington Ave & E 29 St,E 63 St & 3 Ave,Ebike
"September 9, 2023",$0.00,6:12 PM,5 min,Greenwich Ave & Charles St,Greenwich St & Perry St,Normal Bike
"September 9, 2023",$4.26,2:34 AM,23 min,Ave A & E 11 St,Southpoint Park,Ebike
"September 9, 2023",$0.00,12:59 AM,4 min,E 7 St & Ave C,E 7 St & Avenue A,Normal Bike
"September 9, 2023",$0.93,12:58 AM,5 min,E 7 St & Ave C,E 7 St & Avenue A,Ebike
"September 9, 2023",$0.00,12:54 AM,4 min,E 7 St & Ave C,E 7 St & Ave C,Normal Bike
"September 8, 2023",$3.27,9:47 PM,25 min,Roosevelt Island Tramway,Union Ave & N 12 St,Ebike
"September 5, 2023",$0.00,8:21 PM,6 min,2 Ave & E 29 St,FDR Drive & E 35 St,Normal Bike
"September 5, 2023",$0.00,7:01 PM,11 min,FDR Drive & E 35 St,2 Ave & E 29 St,Normal Bike
"August 30, 2023",$0.00,2:35 AM,12 min,45 Ave & 21 St,Southpoint Park,Ebike
"August 28, 2023",$3.27,12:49 PM,23 min,31 St & Thomson Ave,Roosevelt Island Tramway,Ebike
"August 28, 2023",$3.27,12:48 PM,24 min,31 St & Thomson Ave,Roosevelt Island Tramway,Ebike
"August 28, 2023",$3.27,11:05 AM,20 min,Southpoint Park,34 St & 48 Ave,Ebike
"August 28, 2023",$3.27,11:05 AM,21 min,Southpoint Park,34 St & 48 Ave,Ebike
"August 27, 2023",$11.48,1:55 AM,"1 hr, 2 min",E 2 St & Avenue B,Southpoint Park,Ebike
"August 27, 2023",$8.70,1:55 AM,47 min,E 2 St & Avenue B,Broadway & Moylan Pl,Ebike
"August 26, 2023",$2.78,11:23 PM,15 min,Roosevelt Island Tramway,34 Ave & 38 St,Ebike
"August 26, 2023",$2.96,11:22 PM,16 min,Roosevelt Island Tramway,34 Ave & 38 St,Ebike
"August 26, 2023",$0.00,11:18 PM,4 min,Roosevelt Island Tramway,Roosevelt Island Tramway,Normal Bike
"August 26, 2023",$0.00,1:22 PM,20 min,Roosevelt Island Tramway,27 St & Hunter St,Normal Bike
"August 23, 2023",$3.27,11:26 PM,44 min,Matthews Ct & Coney Island Ave,Roosevelt Island Tramway,Ebike
"August 23, 2023",$3.27,8:21 PM,43 min,Motorgate,Matthews Ct & Coney Island Ave,Ebike
"August 23, 2023",$0.74,8:17 PM,4 min,Roosevelt Island Tramway,Motorgate,Ebike
"August 23, 2023",$1.30,7:54 PM,7 min,36 Ave & 10 St,Roosevelt Island Tramway,Ebike
"August 23, 2023",$0.00,7:30 PM,23 min,35 St & Broadway,36 Ave & 10 St,Normal Bike
"August 23, 2023",$0.00,6:04 PM,15 min,36 Ave & 10 St,35 St & Broadway,Normal Bike
"August 23, 2023",$1.67,5:07 PM,9 min,Southpoint Park,36 Ave & 10 St,Ebike
"August 23, 2023",$2.04,3:54 AM,11 min,21 St & 43 Ave,Roosevelt Island Tramway,Ebike
